category,job_description_new,job_type_new,split
Accounting, This is an unparalleled opportunity to gain experience in the not for profit sector whilst honing your management accounting and analysis skills With a strong culture of respect learning and teamwork this large complex organisation is at the forefront of providing much needed health care and support to the broader community Working closely with the Financial Controller this role will focus on the following responsibilities Monthly reporting and corresponding analysis and commentary Productivity reporting across various product lines Involvement in the budgeting and forecasting process Financial modelling and analysis and Building relationships across the wider business Essentially this role will provide commercial support to the business and their broader operations so you will ideally have strong commercial acumen and a keen interest in supporting the decision making process You will enjoy working closely with the various GMs whilst supporting finance and you will have the confidence to liaise with a wide range of stakeholders including the executive The ideal candidate will have a strong work ethic be versatile in approach and possess a problem solving nature in addition to having experience working in a similar NFP or commercial environment It is essential that you have an accounting or commercial degree and be qualified or working towards your CA or CPA If you enjoy a rewarding interactive and engaging role with a good work life balance this role will definitely appeal For more information please call Jane Cullen at u u on 07 3232 9109 quoting reference number 11327 Alternatively to submit an application please click below Please submit your resume in Word format only ,Full Time,train
"Advertising, Arts & Media", ESPN Inc The Worldwide Leader in Sports is the leading multinational multimedia sports entertainment company featuring the broadest portfolio of multimedia sports assets with over 50 business entities Headquartered in Bristol Connecticut ESPN is 80 owned by ABC Inc a subsidiary of The Walt Disney Company and 20 by the Hearst Corporation ESPN was founded by Bill Rasmussen and launched on September 7 1979 Now with over 6 500 employees each year ESPN televises more than 5 100 live and or original hours of sports programming The company s mission is to serve sports fans Anytime Anywhere The Deputy Editor ESPNcricinfo Australia will be in charge of the day to day operations of the site in Australasia He she will be responsible for coordinating all the cricket content generating from this region and work closely with the other global desks of ESPNcricinfo and the ESPN com au desk He she will report to the editor in chief of ESPNcricinfo Responsibilities Overall content management of the site in Australia and New Zealand Day to day content planning for the site Specific focus on content for emerging audiences Managing the Australia and New Zealand homepages of ESPNcricinfo Helping with managing global content and other homepages in the Australia timezone Working with all the content teams video news correspondents social media and features Work closely with the editorial teams across all the regions Work closely with the ESPN com au desk to ensure efficient management of cricket page on multi sport site Take ownership for region specific content to serve specific needs of local markets Education Background 10 years of experience at a senior level in a nationally recognized print or web publication specializing in cricket A degree in journalism from a reputed institution At least five years of experience in a leadership position An excellent grasp of the English language A strong foundation in cricket history A solid understanding of the internet and web journalism The ability to manage a team Awareness of social media and digital publishing trends Additional information Imagine a career with an organization that brings smiles to millions every day Imagine working with people whose passion for what they do is simply indescribable We are The Walt Disney Company live with a rich legacy of innovation entertainment and lifelong memories With our vast array of both businesses and professionals you ll have the opportunity to join a team that s beloved around the world and to find out how it feels to love what you do We invite you to discover for yourself why a career with Disney is the opportunity you ve been looking for ESPN Inc is an Equal Opportunity Affirmative Action Employer Our goal is to create an inclusive workplace for all ,Full Time,train
Hospitality & Tourism, A popular tourist destination and a Resort unlike any other Green Island on the Great Barrier Reef is one of the most unique destinations in tropical North QLD Part of the Quicksilver Group and located just 27km from Cairns this established 46 room resort is currently seeking a Commute Chef de Partie Chef de Partie Commute Strong a la carte chef required for the kitchen team Brigade size of 18 The successful applicant will have a calm disposition be a self motivated team player who thrives on providing 5 customer service Emeralds Restaurant provides our guests with tropical buffet breakfasts cafe style lunch options and casual elegant evening dining This is a Commute position with a requirement of minimum 2 nights stay over Employees of Green Island will enjoy access to reef trips and other great Quicksilver products at heavily discounted rates Several daily transfers to the mainland mean our staff are only 45 min away from Cairns and all it offers If you have a mature outlook on life appreciate nature and think you have the personality to work and live in a small community we urge you to apply ,Full Time,train
Healthcare & Medical, Well known medical devices brands Cardiac Vascular portfolio Evolving pipeline across all divisions THE COMPANY This established multinational organization is a leader in the sales marketing and distribution of medical products in a variety of therapeutic areas including Surgical Vascular Access Cardiac Critical Care and Respiratory Care They have a strong reputation based on the proven track record of their brands the quality of their products and exceptional customer service THE ROLE This vacancy is a fantastic opportunity for an experienced medical sales professional to join their Queensland team Representing a well known and Physician endorsed range of Cardiovascular Vascular Access products you will build upon your existing therapeutic knowledge and customer contacts on the Brisbane North territory plus regional area to autonomously manage your territory and further develop relationships with key decision makers Sales will be generated through promotion of the many products already listed on hospital contracts as well as the introduction of new products during the year and beyond A superior level of customer support and clinical education is also required YOU We are interested to hear from experienced medical device representatives Relevant clinical sales expertise in Vascular Intervention Interventional Cardiology or related fields A stable employment history and proven success in similar roles is essential As a collaborative team player you will fit right into the inclusive culture WHAT S IN IT FOR YOU An attractive remuneration package is on offer which includes a generous base salary car allowance super and uncapped performance bonuses paid quarterly You will be joining a dynamic and growing company HOW TO APPLY To express your interest in this exciting career opportunity please click the APPLY button and send us your CV in MS Word format Alternatively call Sally on 0468 474 842 or Amanda on 0421 197 297 for a confidential discussion about your next career move ,Full Time,train
Real Estate & Property,A privately owned developer is looking to add an experienced Assistant Development Manager to their team Their developments have been recognised internationally and locally with award winning designs by renowned architects making them instantly recognisable Our client specialises in high end luxury mixed use residential developments and continue to focus on securing future acquisitions to build on the current portfolio You will need Experience as an ADM in medium to high density projects Property related Tertiary Qualification Exposure and experience with updating financial models and reporting is essential Great communication and interpersonal skills Ability to manage consultants and contractors Drive to succeed and earn autonomy in the business Must be across feasibilities experience in Estate Master Benefits include Internal growth options in medium to long term Empowerment and autonomy given once ability is proven Exposure to a range of impressive projects with varied target markets Great team culture and mentorship by industry leaders Move into a DM role within 12 18 months This is a great opportunity for a motivated and driven ADM to take the next step in progressing their career There really are no projects like this in the CBD an you will be a key driver in the success of the delivery This is a career defining project To apply click on the link below email a confidential CV in Word format to Kimberley Hoedemaeckers khoedemaeckers goughrecruitment com au or call 0407743646 K after submitting an application Please note that we are only able to consider experienced Property professionals for this vacancy and due to high application volumes only short listed candidates will be contacted Only Australian permanent residents are eligible to apply ,Full Time,train
Trades & Services, Murray Engineering is a Perth and Kalgoorlie based company providing a comprehensive range of mechanical and electrical maintenance services throughout the mining industry To be part of the quality maintenance team all roles require positive and proactive individuals who have demonstrated experience in the relevant fields together with a sound understanding of safe work practices and experience Automotive Electrician roles are currently available with immediate starts working a 8 days on a 6 days off roster FIFO from Perth Successful applicants will be required to work without supervision onsite maintaining a fleet of underground mining equipment Successful applicants must have Auto electrical trade qualifications Experience in underground preferable not essential RCT Experience Current WA driver s license Good communication skills Positive attitude towards safety and safe work practices The successful candidates will be required to meet our pre employment criteria including drug and alcohol screening prior to an Offer of Employment being made Due to site travel requirements periodical D A testing will also be carried out and must be passed Please forward resume cover letter in WORD or PDF format only to hr murrayengineering com au or click apply below Due to the high volume of applications received for our advertised positions only those applicants who are shortlisted will be contacted To those applicants not shortlisted we extend our appreciation for considering Murray Engineering as a potential employer ,Full Time,train
Information & Communication Technology, We re creating a new enablement platform for the liquid workforce Our platform makes it easier for employers to schedule their employees and for employees to have more flexibility in deciding when they work Our platform was built for the Internet It is built for scale and interoperability and it is available for web and mobile clients We re extending our existing team 30 people with an expert Application Security Engineer to ensure that our platform maintains the highest security standards If you enjoy solving complex security problems on a cloud platform that will be used by millions and you re able to identify and react quickly to emerging security threats then this will be a challenging opportunity made for you Responsibilities Architecting designing and implementing critical security infrastructure Assessing and evolving the threat model for production systems and development components Application security and penetration assessments and testing Drive improvements to underlying authentication protocols and APIs Ability to develop production level code whilst also being a subject matter expert to the team Conduct security code reviews on new and existing platform features Contribution to platform security compliance strategy Developing strategies and lead efforts to handle security incidents and investigations Identifying gaps or enhancements in existing security practices General Skills Critical thinker with a passion for solving complex problems Experience of security threat modelling techniques Experience of common security compliance standards such as PCI and ISO IEC 27001 Demonstrable experience of security testing tools and frameworks Technical Skills Experience of building secure solutions on AWS Experience of implementing authentication and authorisation techniques for cloud based systems Experience with implementing cryptographic algorithms or protocols knowledge of programming in Ruby also highly regarded Experience with network traffic analysis using tools Experience of conducting security code reviews risk assessments application security and penetration testing and security triages Knowledge of potential attack vectors such as XSS injection hijacking social engineering etc Knowledge of network and web related protocols e g TCP IP UDP IPSEC HTTP HTTPS routing protocols Recent hands on experience is a must for this role We offer a fantastic working environment located in the heart of Adelaide with the nearby conveniences of public transport and Rundle Mall If you feel this role is for you please apply an enthusiastic high performing team awaits ,Full Time,train
Healthcare & Medical, General Practitioner GP Lucrative Opportunity 50k sign on 500k pa Are you an vocationally registered GP looking to work full part time or after hours Prefer somewhere close to the city and beach A fabulous opportunity awaits for a VR General Practitioner to commence full part time at an established and busy clinic approximately 15 min from the CBD and only minutes away from some of Adelaide s popular beaches As a busy clinic the practice employs 7 GPs and offers full nursing support Due to high patient growth in the area the new doctor can expect to be booked out within 2 weeks With over 500 new patients walking into the clinic monthly this would be the perfect chance for a new GP to come on board Flexible hours on offer and a generous sign on bonus to the value of 50k available This truly is a solid opportunity If you re looking to join a quality provider committed to practicing best practice medicine apply today Offer Full part time after hours positions flexible shifts Extremely busy clinic seeing 500 new patients per month 70 75 Billings dependent on experience shifts 500k pa Generous 50k sign on bonus Nursing staff experienced friendly team Close to CBD and stunning beaches Please note this is not a DWS location Requirements Unrestricted General Practitioners with Vocational Registration with AHPRA a must FRACGP ACCRRM FRNZCG MRCGP via JCPTGP CFPC MICGP How to Apply Click Apply for this job or Please Email your CV directly to natasha douglashealthcare com au or call Natasha on 0424 553 237 for a confidential discussion ,Full Time,train
Trades & Services, Trade Building Supplies is a family run business based in Berrimah They are currently looking for a person who has a keen eye for detail and strong organisational skills to fulfil the role of Yard Foreman Storeman Trade Building Supplies would like to appoint an energetic and enthusiastic Yard Foreman to work in our fast paced warehouse The successful applicant should possess the following qualifications and experience Timber and Hardware Knowledge Experience desired Excellent Customer Service skills Current NT driving license Strong organisational and time management skills Attention to detail and have a strong work ethic Preferably experience in a similar role Be able to lift 20kg Hold a current forklift license Desirable to hold a HR License Roles and Responsibilities Picking and Packing orders for delivery or collection Load and unload trucks Ability to be able to supervise co ordinate up to 5 staff Delegate and perform tasks to Yardman At times assume role of Yard Supervisor Yard maintenance If you are looking for an exciting and satisfying position with a supportive and experienced team contact us today E hr tbsnt com au or PH 8919 2000 ,Full Time,train
Healthcare & Medical,Calvary Public Hospital Bruce Permanent Full Time Registered Nurses Level 1 Emergency Department Canberra Permanent Full Time Positions About Calvary Calvary Public Hospital Bruce CPHB is a 265 bed multi discipline modern healthcare facility serving the ACT community At CPHB our patients and their families expect a highly skilled compassionate and dedicated workforce Calvary staff pride themselves on being for others The patient journey is at the centre of Calvary s philosophy within our models of care About the Role A number of exciting opportunities for Registered Nurses RN within Calvary Public Hospital Bruce Emergency Department ED are available for experienced emergency nurses to either take up a senior registered nurse level one or level two position Calvary s well regarded Emergency Department sees in excess of 56 000 patients a year Calvary Public Hospital Bruce provides services in general surgery urology general medicine with all the major subspecialties represented and O G Nursing staff are supported through an induction program which leads into a transitional program where post graduate emergency nursing study is encouraged Nursing roles within the department include new graduate positions resuscitation triage acute subacute short stay unit emergency medicine ward patient flow and advanced practice emergency nursing roles What s in it for you An experienced and supportive multidisciplinary team that believes in patient family centred care Supportive learning and development team and on site library Our Emergency Department is committed to education at all levels and has an active local training cultural as well as a national research publication and professional college presence Access to Salary packing benefits How to apply Applicants are expected to respond in writing and include the following Current resume including names contact details for 2 professional referees and Covering letter max 2 pages stating your suitability for this role Applications close 30 April 2018 All applications must be submitted online through Calvary Careers applications submitted via email will not be accepted and will be kept in confidence Applications Close 30 04 2018 To view the position description or submit your application please click the Apply Now button below ,Full Time,train
Sales, Good salary package including overtime Professional work environment Well established company About the Role Contact maintain and grow customer base Push existing product lines and grow new product lines Assist the sales team with take offs from shop drawings Duties and Responsibilities Customer service including quotes and order taking Read and decipher customers drawings Maintaining and growing customer relationships Skills and Experience Must have excellent steel industry knowledge Prior steel distribution experience essential plate sales favoured Can do attitude Ability to read and decipher shop drawings Benefits and Culture Well established Australia wide business 41 years Great long term employment opportunity On the job training from experienced trainers for any additional skills required ,Full Time,train
Accounting, The Company A leader in their field this organisation provides solutions to a number of clients Supporting the CEO as well as the senior business stakeholders this organisation seeks a hands on Chief Operating Officer to run the day to day finance and operations of the business as well as to assist in their growth and development The Role This is an exciting opportunity to join an established and well run organisation Reporting to the Directors of the organisation your role will be to manage the day to day finance and operations Specific duties include but are not limited to Preparation of budgets analysis and 12 months forecast P L reporting including consolidating the Australia accounts GST FBT and BAS Compliance Payroll Management Prepare quarterly reporting packs and reconciliations Profit maximisation and cost review analysis Liaise with CEO and support growth Liaise with auditors on any compliance related matters Manage and negotiate new contracts Facilities Management Assisting in new systems implementation Ad hoc support to non finance stakeholders The Individual The successful applicant will be CPA or CA qualified who is comfortable to work in a very hands on environment You will have strong leadership team spirit and will be able to manage commercial outcomes Click APPLY or alternatively please call Jason Sellyn at TwoScots Recruitment in our Melbourne office on 03 8624 2502 for a confidential discussion about this opportunity ,Full Time,train
Retail & Consumer Products, About the business We are an industry leading Contract Manufacturer with in the Health Wellness Food and Nutaceuticals industries with Australia s most well known FMCG and Health brands as our customers We are passionate and dynamic team working in a fast paced environment Our head office on the edge of Sydney CBD within minutes walks from the train station and cafes and gyms on the doorstep About the role Due to rapid growth and a new strategic direction we are looking for a Procurement Coordinator Analyst to join our team and take charge of the purchasing of inventory as well as Price Analysis Supplier Management and SAP BusinessOne reporting This is a hands on procurement role with an NDP environment and you will be required to proactively order ingredients components to meet new product development lead times as well keeping existing products in stock You will be extremely organised with a proven track record of meeting deadlines have a high skill level in Excel and ERP MRP Systems Benefits and perks Great career development opportunities Great team environment Central and convenient location Multiple sites across NSW Skills and experience A University Degree OR Proven experience in a similar role Backgrounds or understanding of food ingredients or sports nutrition Strong Excel analytical computer skills Excellent organisational and communication skills Professional intelligent and articulate personality ,Full Time,train
"Mining, Resources & Energy", Make a difference Contribute to a safe and environmentally responsible Australian offshore petroleum industry A career with NOPSEMA provides an opportunity to make a real difference to people working in Australia s offshore oil and gas industry and the environment We are looking for a senior petroleum industry professional engineer qualified in an offshore oil and gas industry related discipline to join our Safety and Integrity Division in the role of OHS Regulatory Specialist Lead within the team responsible for Platforms Pipelines and Diving In this lead role your skills and depth of knowledge in offshore petroleum occupational health and safety regulation combined with your industry knowledge in a hydrocarbon process engineering chemical engineering pipeline engineering structural engineering or marine engineering discipline will be essential in carrying out your main duties as follows Provide specialist technical expertise and advice to and on behalf of the Authority Inspect offshore petroleum facilities and associated operations Assess safety cases and associated technical documents as appropriate Support the Agency s investigations of accidents and dangerous occurrences Undertake regulatory enforcement action in accordance with Agency processes Develop and maintain robust procedures guidelines and standards relating to the regulations and management of risk Make recommendations and decisions on technical legal and jurisdictional matters Support the Team Manager by representing the Agency in relation to regulatory decisions Assist the Team Manager in planning co ordinating and supervising activities across the team including coaching and mentoring team members Working with NOPSEMA NOPSEMA offers attractive flexible working conditions including competitive remuneration package generous superannuation and annual leave of five weeks Further information For more information and to apply for this exciting opportunity go to https www nopsema gov au about careers with nopsema find a job opportunity Please note the closing date for this position is 7 May 2018 Applications must be submitted by the closing date Any applications received beyond the closing date will not be considered ,Full Time,train
Banking & Financial Services,Our Client A well established IFA providing holistic strategic advice to HNW clients They pride themselves on exceptional client service with retention being the focus of the business the successful candidate will be working with a team of experienced and educated individuals who all possess exceptional technical knowledge Due to growth they are looking to add an additional planner to the team The Role The successful candidate will inherit an existing book of active clients acting as a trusted adviser for a range of complex financial needs You will be supported by a team of qualified and knowledgeable support staff who have been working with these clients long term Build trusted adviser relationships with a book of client working with existing advisers to transition the relationship Provide high touch complex strategic advice to clients including ongoing management of implemented strategies monitoring of portfolios and reviews to ensure ongoing advice is in line with client goals Over time organically grow the book through referrals from existing cli9ents whilst not compromising on ongoing service The goal is fhat you will be managing a book of 100 HNW clients Work with support functions to manage and implement advice provided including research and SOA presentations Adhere to all compliance and regulatory standards including undertaking CPD hours where appropriate Qualifications Experience Degree qualified further qualifications highly regarded Minimum of ADFP with the appetite to work towards CFP Minimum of 3 years experience in a senior planner role being able to demonstrate client retention over a sustained period of time Strong analytical skills Experience working with a range of complex strategies including but not limited to direct investments SMSF s trusts etc Benefits Above market salary with an attractive retention focused bonus Support to complete further study where necessary To apply for the role or if you would like to find out more please contact Aaron Davies on 0487 184 428 or via email on aaron davies fordpeterson com ,Full Time,train
Banking & Financial Services, About Us Commonwealth Financial Planning is part of Australia s most successful providers of integrated financial services and is a leader in the provision of financial advice Our national presence means that wherever customers are they ll be able to access quality financial advice The Opportunity As a Senior Financial Planner in our relationship managed channel you will work with a team of likeminded referrers to provide our customers with holistic lifestyle based advice You will be provided with outstanding support from leading client and market intelligence as well as the resources of a centralised para planning team thereby allowing you to provide tailored quality advice to our Premier Banking clients You will be passionate about engaging and collaborating with HNW clients to understand their needs and offer help and advice that will support them in achieving their strategic goals and financial objectives This is a key role in our advice business offering strong referrals and a tremendous opportunity for future development and career progression Your role To provide Quality Advice in an ethical and compliant manner and in the best interests of the customer to ensure risk obligations with regards to ASIC and business rules are met while generating business To adapt the style and content of verbal and written communication to effectively influence a range of customers and other stakeholders to realise the best outcomes for the customer To keep abreast of industry legislative business and technical Advice trends in order to provide Quality Advice in a professional manner and further educate customers during the process of giving Advice To actively engage positively with referral partners and other relevant stakeholders to draw on their support in identifying and generating new business as well as providing Quality Advice To plan prioritise and manage own work load and tasks to be an effective Adviser To engage and collaborate with customers in order to identify their needs and objectives and to educate them and ensure they understand the advice provided To be open and approachable in collaborating with and sharing ideas amongst team members in order to encourage and support one another as a well functioning team To coach mentor and educate partners and team members in a meaningful way To conduct research and evaluate data to ensure appropriate and relevant advice is offered in the context of the customer situation and objectives To adhere to the Licensee Standards as a minimum requirement in the provision of Quality Advice to customers in a way that complies with all relevant financial services laws and internal policies and guidelines To direct customers on to the appropriate Wealth Management Advice specialists to support the CFP view that the right customer is seen by the right Adviser Be passionate in your performance to meet or exceed allocated revenue and retention targets Have a passion for building and developing your Financial Planning career Your essential skills experience qualifications Extensive experience in financial planning or business development roles dealing with HNW or corporate clients Superior personal presentation communication and influencing skills Excellent technical knowledge and a strong understanding of Risk Investment Retirement Planning Succession Planning and or SMSF s Ability to work in a team environment and autonomously Degree in Finance Business Commerce or a related discipline from a recognised Australian tertiary institution or international equivalent Diploma of Financial Services Financial Planning giving you RG146 Compliance in the following Generic Knowledge Securities Managed Investments Life Insurance Superannuation Financial Planning and Skills Please note that this role may be filled prior to the advertised end date Apply NOW by clicking on the attached link CommBank supports RecruitAbility a scheme designed to ensure that candidates who have a disability and meet the minimum requirements of the role they apply for are provided with the opportunity to be interviewed for that role The aim of the scheme is to increase accessibility of employment opportunities for candidates with a disability and to support objectives of our Accessibility and Inclusion Plan If you confirm in your application form that you would like to participate in this initiative have a disability and meet the minimum requirements of the role a recruiter from CommBank will contact you after your application has been submitted to discuss your participation in the RecruitAbility Scheme Please note that this role may be filled prior to the advertised end date ,Full Time,train
Human Resources & Recruitment, Manager Operational Compliance West Australia Position re advertised due to previous successful applicant unable to join us Landmark is currently seeking a Manager Operational Compliance to join our Safety Risk Compliance team This is an outstanding opportunity for an experienced candidate with full training and support provided Located in Belmont the role is responsible for managing the operational risk including environment safety and health risk and compliance functions within the Landmark Regional Network This role also involves significant interaction with Regional Network staff and managers to encourage a risk based approach to business processes and strategies The ideal candidate must be flexible highly organised have the ability to learn and work under pressure Basic knowledge of environmental safety injury and risk management and the ability to liaise with governing bodies regulators is essential Experience with compliance and OHS or operational risk working knowledge or ability to quickly understand Australian Standards on compliance and risk management techniques would be highly regarded A business or commerce degree or other relevant tertiary qualification is desirable however not essential A current motor vehicle license is required as this role requires frequent travel to branch sites within the Landmark Regional Network For further information please contact Sandee Llewellyn on 0438 086 418 Applications to Sandra llewellyn landmark com au Closing date 11th May 2018 ,Full Time,train
Sales, Company My client is one of the largest producers of high quality building solutions in Australia with a network of stores throughout the country With a strong focus on security parameter automated gates bicycle racks bollards My client is a true one stop shop for many construction companies across the country with a long standing history of supply solutions to councils and education customers With many successful acquisitions of independent stores over the last 5 years it s fair to say that this company has seen mass expansion in recent years With a full portfolio of tier 1 products now is a fantastic time to get on board a near market leader Role The focus of the role is to expand your market share and client portfolio by winning new business and also to grow an existing customer base To achieve this you must have a strong relationship focus and strategically leverage your pre existing network Working close with the sales manager you will be guided with regards to strategy and have a constant resource guiding you in which you can use to make sure deals get over the line The territory you will inherit has historically been very lucrative for my client and requires a level of sales person that this territory demands You will be working autonomously within the organization and must have a strong attention to detail and unrivalled accountability Duties and responsibilities Build relationships and identify tender opportunities Sell via specification Generate and convert new leads Build brand loyalty and maximise revenues Developing and maintain structured plans for all key accounts you will Skills and experience Previous experience in B2B sales Exposure to the building materials or construction sectors is an advantage Well developed interpersonal skills and be able to build rapport 5 years in the sales of construction specification direct to major projects Highly motivated to succeed Comfortable working in an aggressive high energy sales team Demonstrate leadership Ability to work alone Have strong technical skills in the sale of construction supply Computer literate He she will have the ability to be proactive and flexible in problem solving Salary Base 85 000 100 000 Commission Uncapped Car Car Allowance Tools of trade Super Apply Apply by clicking the link below Please apply by sending your resume in word format to elliot salexo com au Alternatively you can call me on 02 9922 9633 for a completely confidential discussion NB All candidates that meet our client s shortlist will be contacted within 2 business days ,Full Time,train
Insurance & Superannuation, Closer Braver Faster The Role CGU has an exciting opportunity for a Claims Consultant to join our Victorian Workers Compensation team based in Melbourne The Claims Consultant position would suit someone who thrives in a Workers Compensation environment and enjoys working with people The primary purpose of the Claims Consultant role is to assist in the management of Workers Compensation claims with the aim to help injured worker s recovery and return to work as quickly and safely as possible Key Responsibilities Collaborate with the injured worker their employer and health professionals Implement and ongoing review of claim management strategies Provide exceptional customer service to employers and build relationships with all stakeholders Attend and participate in Claims Reviews or other employer engagement as appropriate to the portfolio Review claims and to ensure entitlements are appropriate in accordance with relevant legislation guidelines Manage other core claims management functions such as weekly compensation and medical expense benefit Skills Experience Previous experience in managing personal injury claims particularly in a Workers Compensation desireable Proven customer service experience in a customer centred role essential Well developed interpersonal skills and clear and professional communicator Ability to build rapport and establish relationships Resilient displays empathy and able to communicate with all walks of life Displays a drive for results and is outcome focused Ability to prioritise and manage time effectively About Us At IAG we believe that everyone has a unique point of view to share shaped by their life experiences cultures passions We celebrate and commit to Proud to be me we value difference not sameness Together harnessing our collective wisdom enables us to be our best for our customers each other No boxes it s not about labels boxes or categories It s about building a diverse and inclusive mindset into everything we do IAG is the largest general insurance group in Australia and New Zealand IAG owns some of the region s most trusted brands including NRMA Insurance CGU SGIO SGIC WFI and Swann Insurance Let s Talk Start your career journey and join an inclusive culture that celebrates YOU We offer 13 superannuation flexible work and leave options To find out more click Apply We encourage Aboriginal and Torres Strait Islanders to apply for this position ,Full Time,train
Trades & Services, A Qualified Landscaper is required for a rapidly expanding landscape construction company working on several projects on Sydney s North Shore Northern Beaches The position is casual with full time hours Opportunity to go permenant for right candidate To be successful for this role you will need to have the following Previous experience completing this role Own Transport Availability to work Monday to Friday full days Initiative to work autonomously and part of a team Construction Induction Card White Card preferred but not a necessity Certificate 3 in Landscape Gardening Hard working and reliable Must be physically fit Casual but could go to Full Time for the right applicant ,Full Time,train
Government & Defence, Executive Level 1 98 967 111 633 plus super Canberra ACT Looking for a challenging career We want you to work on Australia s most complex Defence capability as it s an exciting time to join the Submarine Group Submarine Division within Capability Acquisition and Sustainment Group works with Navy and Industry counterparts to ensure Australia has an enduring and potent Submarine capability Submarines are a unique Defence capability and play an essential role in supporting Australia s maritime security The Future Submarine Program is responsible in partnership with Naval Group for delivering a regionally superior sovereign capability which will replace the current Collins Class Submarine The position will provide the right candidate with the opportunity to gain exposure and experience to cyber security supply chain assurance and associated risk management in a unique and complex acquisition and sustainment environment shaping Australia s future maritime Defence capability The focus of the role includes the maritime and land based cyber security aspects of the acquisition and sustainment of the new capability Application Closing Date 20 April 2018 For further information please review the job information pack reference CASG 01293 18 on www defence gov au apscareers ,Full Time,train
Administration & Office Support, The Company Optibelt Australia Pty Ltd located in Dandenong requires a Full Time Customer Service Person The Arntz OPTIBELT Group is considered one of the leading manufacturers of high performance drive belts We are offering an opportunity to work in a friendly team environment in a highly successful German owned company where customer satisfaction is paramount Responsibilities Include but not limited to Processing of all sales orders invoices and credits Answering a high volume of customer enquiries Preparation of customs paperwork Receipting of incoming shipments Filing with accuracy Relief work of warehouse duties if required Data entry and Cataloging for Automotive Stock taking duties during December each year Adhering to OHS requirements Communication co operation with Management Supervisors Employees Skills Qualities Required Previous experience in a similar role is highly desirable High attention to detail Accurate typing skills Word Outlook and Excel skills required Team player reliable punctual self motivated Excellent time management Willingness to learn Hardworking with a hands on approach Ability to demonstrate good written and verbal communication skills Sound organisational skills and the capability to work in a team environment and autonomously Please submit your application via email for our consideration with a covering letter outlining your previous work experience ,Full Time,train
Banking & Financial Services, About Us Commonwealth Financial Planning is part of Australia s most successful providers of integrated financial services and is a leader in the provision of financial advice Our national presence means that wherever customers are they ll be able to access quality financial advice The Opportunity As a Senior Financial Planner in our relationship managed channel you will work with a team of likeminded referrers to provide our customers with holistic lifestyle based advice You will be provided with outstanding support from leading client and market intelligence as well as the resources of a centralised para planning team thereby allowing you to provide tailored quality advice to our Premier Banking clients You will be passionate about engaging and collaborating with HNW clients to understand their needs and offer help and advice that will support them in achieving their strategic goals and financial objectives This is a key role in our advice business offering strong referrals and a tremendous opportunity for future development and career progression Your role To provide Quality Advice in an ethical and compliant manner and in the best interests of the customer to ensure risk obligations with regards to ASIC and business rules are met while generating business To adapt the style and content of verbal and written communication to effectively influence a range of customers and other stakeholders to realise the best outcomes for the customer To keep abreast of industry legislative business and technical Advice trends in order to provide Quality Advice in a professional manner and further educate customers during the process of giving Advice To actively engage positively with referral partners and other relevant stakeholders to draw on their support in identifying and generating new business as well as providing Quality Advice To plan prioritise and manage own work load and tasks to be an effective Adviser To engage and collaborate with customers in order to identify their needs and objectives and to educate them and ensure they understand the advice provided To be open and approachable in collaborating with and sharing ideas amongst team members in order to encourage and support one another as a well functioning team To coach mentor and educate partners and team members in a meaningful way To conduct research and evaluate data to ensure appropriate and relevant advice is offered in the context of the customer situation and objectives To adhere to the Licensee Standards as a minimum requirement in the provision of Quality Advice to customers in a way that complies with all relevant financial services laws and internal policies and guidelines To direct customers on to the appropriate Wealth Management Advice specialists to support the CFP view that the right customer is seen by the right Adviser Be passionate in your performance to meet or exceed allocated revenue and retention targets Have a passion for building and developing your Financial Planning career Your essential skills experience qualifications Extensive experience in financial planning or business development roles dealing with HNW or corporate clients Superior personal presentation communication and influencing skills Excellent technical knowledge and a strong understanding of Risk Investment Retirement Planning Succession Planning and or SMSF s Ability to work in a team environment and autonomously Degree in Finance Business Commerce or a related discipline from a recognised Australian tertiary institution or international equivalent Diploma of Financial Services Financial Planning giving you RG146 Compliance in the following Generic Knowledge Securities Managed Investments Life Insurance Superannuation Financial Planning and Skills Please note that this role may be filled prior to the advertised end date Apply NOW by clicking on the attached link CommBank supports RecruitAbility a scheme designed to ensure that candidates who have a disability and meet the minimum requirements of the role they apply for are provided with the opportunity to be interviewed for that role The aim of the scheme is to increase accessibility of employment opportunities for candidates with a disability and to support objectives of our Accessibility and Inclusion Plan If you confirm in your application form that you would like to participate in this initiative have a disability and meet the minimum requirements of the role a recruiter from CommBank will contact you after your application has been submitted to discuss your participation in the RecruitAbility Scheme Please note that this role may be filled prior to the advertised end date ,Full Time,train
